sub_phase,algorithm,n_success,path_smoothness_msj_mean,path_smoothness_msj_std,path_smoothness_msj_median,path_smoothness_msj_min,path_smoothness_msj_max,path_smoothness_msj_p25,path_smoothness_msj_p75,path_planning_time_mean,path_planning_time_std,path_planning_time_median,path_planning_time_min,path_planning_time_max,path_planning_time_p25,path_planning_time_p75,path_execution_time_mean,path_execution_time_std,path_execution_time_median,path_execution_time_min,path_execution_time_max,path_execution_time_p25,path_execution_time_p75,path_optimality_ratio_mean,path_optimality_ratio_std,path_optimality_ratio_median,path_optimality_ratio_min,path_optimality_ratio_max,path_optimality_ratio_p25,path_optimality_ratio_p75,collision_rate
sparse,a_star,4,4.509977647592462,7.302826546259807,1.1277366925972234,0.371840015048258,15.41259719012714,0.3766569155127227,5.261057424676962,0.03371301550004085,0.0162402603475916,0.0348460875001137,0.0141785139999228,0.0509813730000132,0.0241454965000116,0.04441360650014295,5.064583333333333,1.9367501535839378,5.510416666666666,2.6083333333333334,6.629166666666666,3.9677083333333334,6.607291666666667,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,min_jerk,5,3.8284321818322185,6.505457538731147,1.102250318275323,0.371840015008279,15.41259719085613,0.3782625489863511,1.8772108360350064,0.00011280980006629186,3.39164157606251e-05,0.000113826000188,6.355599998641992e-05,0.0001455120000173,9.839400013333945e-05,0.0001427610000064,5.0616666666666665,1.6772875134507432,5.05,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,20.0
sparse,RRT,5,385655.0827322403,862340.8962641893,1.8772108361033617,0.3718400152018387,1928257.3737506107,0.3782625490464991,15.41259719031066,0.0976264341999467,0.05265740412516459,0.0784760229998937,0.0400365079999573,0.1715595159998884,0.0679026620000513,0.1301574619999428,5.117500000000001,1.681443349063866,5.329166666666667,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,RRT-Connect,5,748039.7485537089,1672657.6430333029,1.8772108361033617,0.3718400152018387,3740180.702857954,0.3782625490464991,15.41259719031066,0.041819891999966725,0.018680244373883624,0.039558450999948,0.0239623249999567,0.0714326149998214,0.0284179600000697,0.0457281090000378,5.191666666666667,1.7011765740542957,5.7,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,RRT*,5,109749.2535489992,245396.7068803226,1.8772108361033617,0.3718400152018387,548728.2278344053,0.3782625490464991,15.41259719031066,5.040198077000014,0.02535524853854934,5.048372731999962,5.003683676000037,5.070751959000063,5.028241190000017,5.04994082799999,5.077500000000001,1.6775234929634946,5.129166666666666,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,PRM,5,670928.5887512402,1500231.8478925074,1.8772108361033617,0.3718400152018387,3354624.9038456106,0.3782625490464991,15.41259719031066,0.03937269299999566,0.02186209736496435,0.0517495090000466,0.0108921930000178,0.0608965459998671,0.0213408039999194,0.0519844130001274,5.110833333333334,1.6804601097781389,5.295833333333333,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,APF,5,229240.01367477392,317113.20987440465,74371.37578798419,19951.854637485914,773236.3416382711,33598.46777548003,245042.02853464827,0.12021209780000386,0.047741427980609284,0.1262275379999664,0.0586631310000029,0.1745328240001527,0.0866056479999315,0.1550313479999658,5.2233333333333345,1.7074326894167422,5.404166666666667,2.675,6.7875,4.5375,6.7125,1.1236559890750422,0.14581186630083143,1.0983883076409395,0.9740460888030892,1.3238012522152007,1.063022460304532,1.15902183641145,0.0
sparse,CHOMP,5,124535.77017566205,278460.3631982949,1.877210836265364,0.3718400151311616,622660.8109677198,0.3782625490364897,15.41259719003638,0.5606839735999529,0.4454727070890354,0.3682082089999312,0.3301793890000226,1.356192147999991,0.3481265089999397,0.4007136129998798,5.1658333333333335,1.6924859469300046,5.570833333333333,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
sparse,STOMP,5,691817.9729769973,1546941.9310290096,1.8772108362406088,0.3718400150464512,3459071.824974396,0.3782625488589134,15.412597190482582,7.23602062279997,0.38684870613505384,7.003647135999927,6.902003135999848,7.743192768999961,6.970616862000043,7.56064321100007,5.134166666666667,1.684476200319982,5.4125,2.6083333333333334,6.629166666666666,4.420833333333333,6.6,1.000027012025875,1.4403644164827754e-05,1.0000243955724213,1.0000148704446652,1.0000443865139927,1.0000153184156786,1.0000360891826177,0.0
moderate,a_star,1,1.9191330561084368,,1.9191330561084368,1.9191330561084368,1.9191330561084368,1.9191330561084368,1.9191330561084368,0.0373582679999344,,0.0373582679999344,0.0373582679999344,0.0373582679999344,0.0373582679999344,0.0373582679999344,4.395833333333333,,4.395833333333333,4.395833333333333,4.395833333333333,4.395833333333333,4.395833333333333,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
moderate,min_jerk,5,1.1674593809116132,1.1709029253452896,0.4085055674126475,0.2482913440506349,2.869434340612471,0.3919325962595944,1.9191330562227176,0.00012705419994739998,2.810527293328734e-05,0.0001149029999396,0.0001049099998908,0.0001744619999044,0.0001107990001401,0.0001301969998621,5.744166666666667,1.4699938586417443,6.475,3.975,7.333333333333333,4.395833333333333,6.541666666666667,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,80.0
moderate,RRT,5,4147578.995381795,3467757.488845107,3220053.2808782617,1.9191330558587196,9302091.495211083,2791341.4998822394,5424406.781804333,0.13764192460002955,0.10675107634824714,0.1464284959999986,0.0352688390000821,0.3030131689999962,0.0512443889999758,0.1522547300000951,6.639999999999999,1.959460225419235,6.708333333333333,4.395833333333333,9.008333333333333,5.0125,8.075,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
moderate,RRT-Connect,5,5686566.529048419,6158203.931818638,4660806.779546636,1.9191330558587196,15502961.324114908,1208316.2533647283,7060746.369082765,0.07289128200000046,0.02843313472193561,0.0838196699999116,0.0352447980001215,0.099122264000016,0.0506748509999397,0.0955948270000135,6.33,1.5428582107028932,6.958333333333333,4.395833333333333,7.85,4.9875,7.458333333333333,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
moderate,RRT*,5,5778196.508426856,9880917.702011516,1247641.401755179,1.9191330558587196,23222619.494974107,359702.37715617125,4061017.3491157657,5.072639327600018,0.03357016785535367,5.084593897000104,5.020455786999946,5.103745232000165,5.059416055999918,5.094985665999957,6.2733333333333325,1.7015148479451416,6.525,4.395833333333333,8.279166666666667,4.6875,7.479166666666667,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,20.0
moderate,PRM,5,4044849.1069612363,3989163.6653048084,2883247.3254203266,1.9191330558587196,9812916.288411668,1262511.1679070843,6265568.833934045,0.07465813199996767,0.044074155759845766,0.0661534139999275,0.0126782810000349,0.132019598999932,0.065730220999967,0.096709144999977,6.970833333333333,1.6458887121484784,7.0625,4.395833333333333,8.579166666666666,6.625,8.191666666666666,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
moderate,CHOMP,5,4928389.7025777465,9268268.825128846,412856.5991174642,1.91913305657762,21396706.31884783,181756.1668515918,2650627.5089387884,4.584710658199947,5.004265659446987,0.967451625999729,0.8969848349997847,10.093342196999856,0.926114859000336,10.039659774000029,6.438333333333333,1.4636877892653353,6.516666666666667,4.395833333333333,8.0625,5.6875,7.529166666666667,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
moderate,STOMP,5,2810380.4258766277,2089039.2223964154,2301358.317725555,1.91913305625976,5356122.293055082,2074950.237551012,4319469.361918437,10.057375698600026,0.05455214753347863,10.055722139999943,10.004816097999992,10.131477695000283,10.0059004929999,10.088962067000011,6.654999999999999,1.604616819956992,6.608333333333333,4.395833333333333,8.304166666666667,5.920833333333333,8.045833333333333,1.0000067042467466,,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,1.0000067042467466,0.0
dense,min_jerk,5,0.6840687050046013,0.35301006896672665,0.7246635039335095,0.159247555360968,1.015819290722161,0.5370395077818894,0.9835736672244784,0.00014544159994327342,7.183841637878173e-05,0.0001307889997406,9.077499998966232e-05,0.0002679529998204,9.63050001701049e-05,0.0001413859999956,6.04,1.2581042837892606,5.608333333333333,5.154166666666667,8.195833333333333,5.195833333333333,6.045833333333333,,,,,,,,100.0
dense,RRT,2,2179608.3506882396,568156.1420759396,2179608.3506882396,1777861.2898535552,2581355.411522924,1978734.8202708974,2380481.8811055818,0.08702374200015575,0.023038592520311242,0.08702374200015575,0.07073299700005,0.1033144870002615,0.07887836950010287,0.09516911450020862,6.989583333333334,2.2126549694629056,6.989583333333334,5.425,8.554166666666667,6.207291666666666,7.7718750000000005,,,,,,,,0.0
dense,RRT-Connect,2,7509690.802214522,4244896.497167022,7509690.802214522,4508095.703632698,10511285.900796345,6008893.25292361,9010488.351505432,0.4336837389998891,0.4528117146078918,0.4336837389998891,0.1134975049999411,0.753869972999837,0.2735906219999151,0.5937768559998631,7.839583333333334,1.5585811968653485,7.839583333333334,6.7375,8.941666666666666,7.288541666666666,8.390625,,,,,,,,50.0
dense,RRT*,3,6821507.878022026,8069787.4610262355,2283678.478402627,2042192.450977281,16138652.704686172,2162935.464689954,9211165.5915444,5.073209882666561,0.029796431012096503,5.0630156180000085,5.0498485359999,5.106765493999774,5.056432076999954,5.084890555999891,7.8194444444444455,2.278996540471591,8.7125,5.229166666666667,9.516666666666666,6.970833333333333,9.114583333333332,,,,,,,,33.33333333333333
dense,PRM,2,4905958.863771892,4055209.8668679073,4905958.863771892,2038492.4677749984,7773425.259768786,3472225.6657734453,6339692.061770339,0.3758365099997718,0.42797052446891576,0.3758365099997718,0.0732156499998382,0.6784573699997054,0.224526079999805,0.5271469399997386,8.420833333333333,0.7483546767557623,8.420833333333333,7.891666666666667,8.95,8.15625,8.685416666666667,,,,,,,,50.0
dense,CHOMP,2,5691002.316750104,6024658.397563137,5691002.316750104,1430925.5095007312,9951079.123999476,3560963.9131254177,7821040.72037479,10.105405832000315,0.019158567504128574,10.105405832000315,10.091858679000325,10.118952985000304,10.09863225550032,10.112179408500308,7.46875,1.3287714929797203,7.46875,6.529166666666667,8.408333333333333,6.998958333333333,7.938541666666667,,,,,,,,0.0
dense,STOMP,3,9621384.905501438,9472716.627142858,8268232.06329549,898009.5534636972,19697913.099745125,4583120.808379594,13983072.581520308,10.071130798333343,0.016641364083019763,10.080635137000172,10.05191537699966,10.080841881000197,10.066275256999916,10.080738509000184,10.431944444444445,5.183685567703236,8.5,6.491666666666666,16.304166666666667,7.495833333333334,12.402083333333334,,,,,,,,33.33333333333333
