trial_id,sub_phase,algorithm,test_case_id,trial_number,random_seed,planning_success,execution_success,path_planning_time,path_execution_time,total_time,path_smoothness_msj,path_distance_raw,path_distance_optimal,path_optimality_ratio,collision_flag,num_contact_points,algorithm_specific_metadata
1,sparse,a_star,0,1,,False,False,30.089486807000867,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 92463}"
2,sparse,a_star,1,2,,True,True,0.03909672599911573,5.55,5.5890967259991156,0.7555290693575027,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""d_optimal"": 1.547867163289478, ""internal_plan_time"": 0.03908486900036223, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
3,sparse,a_star,2,3,,True,True,0.02877550199991674,5.4,5.428775501999917,0.8439866802617243,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""d_optimal"": 1.0803357971180185, ""internal_plan_time"": 0.028769186999852536, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
4,sparse,a_star,3,4,,False,False,30.128248913999414,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 99251}"
5,sparse,a_star,4,5,,False,False,30.117466678999335,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 109793}"
6,sparse,a_star,5,6,,False,False,30.095081981000476,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 79060}"
7,sparse,a_star,6,7,,False,False,30.061264292000487,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 85049}"
8,sparse,a_star,7,8,,True,True,0.037419082000269555,4.1,4.137419082000269,2.537411800938722,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""d_optimal"": 0.9169053985122886, ""internal_plan_time"": 0.03740973599997233, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
9,sparse,a_star,8,9,,True,True,0.04340789500020037,5.691666666666666,5.735074561666867,0.6831990628298816,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""d_optimal"": 1.4301949649876442, ""internal_plan_time"": 0.04340128300100332, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
10,sparse,a_star,9,10,,False,False,30.05371460099923,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 63809}"
11,sparse,min_jerk,0,1,,True,True,0.0001916169985634042,3.683333333333333,3.6835249503318965,3.892735927614448,1.1383690196204033,,nan,True,107,"{""duration"": 2.9182540994577657, ""n_samples"": 700}"
12,sparse,min_jerk,1,2,,True,True,9.04829994397005e-05,5.55,5.5500904829994395,0.755529069108697,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""duration"": 3.8579325579850603, ""n_samples"": 926}"
13,sparse,min_jerk,2,3,,True,True,8.534300104656722e-05,5.4,5.400085343001047,0.8439866802683312,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""duration"": 3.0544405789239986, ""n_samples"": 733}"
14,sparse,min_jerk,3,4,,True,True,0.00012118400081817526,6.625,6.625121184000818,0.37278133835468097,1.4376882633025732,,nan,True,736,"{""duration"": 4.782529127965255, ""n_samples"": 1148}"
15,sparse,min_jerk,4,5,,True,True,0.00012074799997208174,6.991666666666666,6.991787414666638,0.3003562699749589,2.381809115165857,,nan,True,1205,"{""duration"": 4.7663279436661945, ""n_samples"": 1144}"
16,sparse,min_jerk,5,6,,True,True,0.00010354400001233444,5.7,5.7001035440000125,0.6795687097541462,1.7374321607414362,,nan,True,830,"{""duration"": 3.6178429601513686, ""n_samples"": 868}"
17,sparse,min_jerk,6,7,,True,True,0.00012666000111494213,7.795833333333333,7.795959993334448,0.194312822599179,3.961275383806843,,nan,True,1197,"{""duration"": 5.777941948300665, ""n_samples"": 1387}"
18,sparse,min_jerk,7,8,,True,True,0.00010918899897660594,4.1,4.100109188998976,2.5374118015167735,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""duration"": 3.7299959926494983, ""n_samples"": 895}"
19,sparse,min_jerk,8,9,,True,True,0.00013809600022796076,5.691666666666666,5.691804762666894,0.683199062841619,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""duration"": 4.420629854386258, ""n_samples"": 1061}"
20,sparse,min_jerk,9,10,,True,True,9.689199941931292e-05,6.054166666666666,6.054263558666086,0.5341101808119808,1.4861514480863962,,nan,True,66,"{""duration"": 4.300941492292727, ""n_samples"": 1032}"
21,sparse,RRT,0,1,,True,True,0.09094283099875611,3.7958333333333334,3.8867761643320895,4178433.974577276,1.1701361055443775,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 60}"
22,sparse,RRT,1,2,,True,True,0.05531773900111148,5.55,5.605317739001111,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
23,sparse,RRT,2,3,,True,True,0.036897712998325005,5.4,5.436897712998325,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
24,sparse,RRT,3,4,,True,True,1.6326562920003198,7.725,9.35765629200032,3696357.828805451,2.4425280587696485,,nan,True,56,"{""ompl_states"": 5, ""shortcut_corners"": 5, ""dense_waypoints"": 104}"
25,sparse,RRT,4,5,,True,True,0.1627565480011981,8.416666666666666,8.579423214667864,4006331.4586934173,2.9392635401081337,,nan,False,0,"{""ompl_states"": 4, ""shortcut_corners"": 4, ""dense_waypoints"": 114}"
26,sparse,RRT,5,6,,True,True,0.10308498499944108,6.741666666666666,6.844751651666107,8747903.517429525,1.6316358713179726,,nan,True,15,"{""ompl_states"": 4, ""shortcut_corners"": 5, ""dense_waypoints"": 104}"
27,sparse,RRT,6,7,,False,False,5.00019725600032,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.366795005395403}"
28,sparse,RRT,7,8,,True,True,0.047621648000131245,4.1,4.147621648000131,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
29,sparse,RRT,8,9,,True,True,0.06440071299948613,5.691666666666666,5.756067379666153,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
30,sparse,RRT,9,10,,True,True,0.11429598599897872,6.2,6.314295985998979,1797763.5219825672,1.5458541825699346,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 91}"
31,sparse,RRT-Connect,0,1,,True,True,0.07033101099841588,4.2125,4.282831010998416,12155165.30896156,1.3715219839567312,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 66}"
32,sparse,RRT-Connect,1,2,,True,True,0.05410565000056522,5.55,5.604105650000565,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
33,sparse,RRT-Connect,2,3,,True,True,0.050291984000068624,5.4,5.450291984000069,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
34,sparse,RRT-Connect,3,4,,True,True,0.3564244809986121,7.583333333333333,7.939757814331945,7315276.354536341,1.7513026735691588,,nan,True,14,"{""ompl_states"": 5, ""shortcut_corners"": 5, ""dense_waypoints"": 109}"
35,sparse,RRT-Connect,4,5,,True,True,0.11841887700029474,8.491666666666667,8.610085543666962,3153659.5345655587,3.110528143665195,,nan,False,0,"{""ompl_states"": 4, ""shortcut_corners"": 4, ""dense_waypoints"": 113}"
36,sparse,RRT-Connect,5,6,,True,True,0.11009784700036107,6.2625,6.372597847000361,2972435.80455146,1.7709490957580483,,nan,False,0,"{""ompl_states"": 5, ""shortcut_corners"": 5, ""dense_waypoints"": 83}"
37,sparse,RRT-Connect,6,7,,False,False,5.0007607610004925,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.450726892308554}"
38,sparse,RRT-Connect,7,8,,True,True,0.027488617999551934,4.1,4.127488617999552,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
39,sparse,RRT-Connect,8,9,,True,True,0.041401181000765064,5.691666666666666,5.7330678476674315,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
40,sparse,RRT-Connect,9,10,,True,True,0.08437702799892577,6.566666666666666,6.651043694665592,8127949.20798236,1.9119741554042278,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 88}"
41,sparse,RRT*,0,1,,True,True,5.058945399001459,3.8541666666666665,8.913112065668125,6372521.69899432,1.2362025704662105,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 60}"
42,sparse,RRT*,1,2,,True,True,5.049035410000215,5.55,10.599035410000216,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
43,sparse,RRT*,2,3,,True,True,5.039729549000185,5.4,10.439729549000186,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
44,sparse,RRT*,3,4,,False,False,5.000929055000597,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 1.4524251724168067}"
45,sparse,RRT*,4,5,,True,True,5.076936389999901,7.370833333333334,12.447769723333234,1285214.9837426168,2.8530502554491943,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 98}"
46,sparse,RRT*,5,6,,True,True,5.058392644999913,6.033333333333333,11.091725978333246,5363913.266027463,1.7401639030532488,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 86}"
47,sparse,RRT*,6,7,,False,False,5.000231358000747,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.532687028160434}"
48,sparse,RRT*,7,8,,True,True,5.031372843999634,4.1,9.131372843999634,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
49,sparse,RRT*,8,9,,True,True,5.025507465999908,5.691666666666666,10.717174132666575,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
50,sparse,RRT*,9,10,,True,True,5.086118722001629,6.091666666666667,11.177785388668296,418464.03667970916,1.5138694779216757,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 88}"
51,sparse,PRM,0,1,,True,True,0.06747448100031761,4.6,4.667474481000317,15577597.863423252,1.61106446121055,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 69}"
52,sparse,PRM,1,2,,True,True,0.0294206620001205,5.55,5.57942066200012,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
53,sparse,PRM,2,3,,True,True,0.01730838500043319,5.4,5.4173083850004335,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
54,sparse,PRM,3,4,,True,True,0.6220029640007851,7.533333333333333,8.155336297334118,4777160.160637018,2.483742817004644,,nan,False,0,"{""ompl_states"": 4, ""shortcut_corners"": 4, ""dense_waypoints"": 107}"
55,sparse,PRM,4,5,,True,True,0.0802815909992205,11.0875,11.16778159099922,5854545.000722206,4.49671730551396,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 143}"
56,sparse,PRM,5,6,,True,True,0.3486035109999648,6.245833333333334,6.594436844333298,4560868.656155675,2.1106992504328246,,nan,False,0,"{""ompl_states"": 4, ""shortcut_corners"": 4, ""dense_waypoints"": 83}"
57,sparse,PRM,6,7,,False,False,5.007155035998949,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.510689946688606}"
58,sparse,PRM,7,8,,True,True,0.01962676599941915,4.1,4.119626765999419,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
59,sparse,PRM,8,9,,True,True,0.01880007699946873,5.691666666666666,5.710466743666135,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
60,sparse,PRM,9,10,,True,True,0.11914449600044463,6.245833333333334,6.364977829333778,1888587.699545702,1.4678083017898857,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 88}"
61,sparse,APF,0,1,,False,False,5.00155656500101,,,,,,,,,"{""reason"": ""timeout"", ""steps"": 5565}"
62,sparse,APF,1,2,,True,True,0.22096425199924852,5.954166666666667,6.175130918665915,260623.14239103062,1.3665659394380056,1.547867163289478,0.8828702952350402,False,0,"{""steps"": 295}"
63,sparse,APF,2,3,,True,True,0.23595981300059066,5.7125,5.948459813000591,94457.57881794944,1.6024239311718467,1.0803357971180185,1.4832646807100052,False,0,"{""steps"": 282}"
64,sparse,APF,3,4,,False,False,5.001232758999322,,,,,,,,,"{""reason"": ""timeout"", ""steps"": 5315}"
65,sparse,APF,4,5,,False,False,5.002045823001026,,,,,,,,,"{""reason"": ""timeout"", ""steps"": 2693}"
66,sparse,APF,5,6,,True,True,0.3677323770007206,6.791666666666667,7.1593990436673876,240564.491328796,1.9330639827253928,,nan,False,0,"{""steps"": 337}"
67,sparse,APF,6,7,,False,False,5.002905539000494,,,,,,,,,"{""reason"": ""timeout"", ""steps"": 1847}"
68,sparse,APF,7,8,,True,True,0.1703253270006826,5.275,5.445325327000683,827452.9893210168,1.7918328483638328,0.9169053985122886,1.954217797464324,False,0,"{""steps"": 260}"
69,sparse,APF,8,9,,True,True,0.2305835200004367,6.4624999999999995,6.693083520000436,124118.62830216093,1.7898628700246741,1.4301949649876442,1.251481730702455,False,0,"{""steps"": 320}"
70,sparse,APF,9,10,,True,True,0.6224824260007153,8.508333333333333,9.130815759334048,3789056.6589523996,2.640085242426661,,nan,True,592,"{""steps"": 422}"
71,sparse,CHOMP,0,1,,True,True,9.017448231001254,22.141666666666666,31.15911489766792,9239266.290720426,7.7129368925701645,,nan,True,9462,"{""iterations"": 65, ""final_cost"": 865.3067039213154, ""obs_cost"": 2.852787027703179}"
72,sparse,CHOMP,1,2,,True,True,0.5561837029999879,5.55,6.106183702999988,0.7555290693410821,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""iterations"": 7, ""final_cost"": 864.3743576041193, ""obs_cost"": 1.080467947005149}"
73,sparse,CHOMP,2,3,,True,True,0.5841344279997429,5.4,5.984134427999743,0.8439866802863095,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""iterations"": 7, ""final_cost"": 864.3743576041193, ""obs_cost"": 1.080467947005149}"
74,sparse,CHOMP,3,4,,True,True,10.05664026500017,22.983333333333334,33.0399735983335,11635244.839509182,6.079989580672344,,nan,True,5260,"{""iterations"": 71, ""final_cost"": 1080.7521080616893, ""obs_cost"": 2.852787027703179}"
75,sparse,CHOMP,4,5,,True,True,10.056615556000907,18.2625,28.319115556000906,4708630.330977254,4.623852055886966,,nan,True,20089,"{""iterations"": 72, ""final_cost"": 1046.0166304771712, ""obs_cost"": 2.852787027703179}"
76,sparse,CHOMP,5,6,,True,True,10.124298724000255,17.1875,27.311798724000255,10272851.582688184,5.6764526879038,,nan,True,14538,"{""iterations"": 71, ""final_cost"": 1098.1888122009382, ""obs_cost"": 2.852787027703179}"
77,sparse,CHOMP,6,7,,True,True,10.031308396000895,21.175,31.206308396000896,8992912.364717128,8.194530441309183,,nan,True,4629,"{""iterations"": 73, ""final_cost"": 1083.596670216428, ""obs_cost"": 2.852787027703179}"
78,sparse,CHOMP,7,8,,True,True,0.5643103090005752,4.1,4.664310309000575,2.537411801241086,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""iterations"": 7, ""final_cost"": 864.3743576041193, ""obs_cost"": 1.080467947005149}"
79,sparse,CHOMP,8,9,,True,True,0.5384643489996961,5.691666666666666,6.2301310156663625,0.6831990628120985,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""iterations"": 7, ""final_cost"": 864.3743576041193, ""obs_cost"": 1.080467947005149}"
80,sparse,CHOMP,9,10,,True,True,10.115545062999445,10.033333333333333,20.148878396332776,8829691.667546427,4.020423831866675,,nan,True,3005,"{""iterations"": 72, ""final_cost"": 864.3743576041193, ""obs_cost"": 2.852787027703179}"
81,sparse,STOMP,0,1,,True,True,6.767941664000318,3.683333333333333,10.451274997333652,3.89273592806904,1.1383690196204033,,nan,True,107,"{""iterations"": 100, ""final_cost"": 540.8166899508221}"
82,sparse,STOMP,1,2,,True,True,6.702754575999279,5.55,12.25275457599928,0.75552906934159,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""iterations"": 100, ""final_cost"": 540.2339735025745}"
83,sparse,STOMP,2,3,,True,True,7.183779921999303,5.4,12.583779921999303,0.8439866804156528,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""iterations"": 100, ""final_cost"": 540.2339735025745}"
84,sparse,STOMP,3,4,,True,True,7.186038050000207,37.479166666666664,44.66520471666687,103540226.07862146,13.543435814922844,,nan,True,1681,"{""iterations"": 100, ""final_cost"": 623.0900981073646}"
85,sparse,STOMP,4,5,,True,True,7.764347083000757,39.71666666666667,47.481013749667426,100828145.30244984,14.327635048251311,,nan,True,4738,"{""iterations"": 100, ""final_cost"": 646.1181316709044}"
86,sparse,STOMP,5,6,,True,True,8.428713760999017,43.045833333333334,51.47454709433235,94794906.46127105,14.072702167286861,,nan,True,4458,"{""iterations"": 100, ""final_cost"": 682.5411519174705}"
87,sparse,STOMP,6,7,,True,True,7.906031120000989,33.625,41.53103112000099,126323287.8009006,11.296185642589466,,nan,True,2405,"{""iterations"": 100, ""final_cost"": 628.4892728174315}"
88,sparse,STOMP,7,8,,True,True,6.714439024999592,4.1,10.814439024999592,2.537411801316928,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""iterations"": 100, ""final_cost"": 540.2339735025745}"
89,sparse,STOMP,8,9,,True,True,6.765966853001373,5.691666666666666,12.45763351966804,0.6831990628355437,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""iterations"": 100, ""final_cost"": 540.2339735025745}"
90,sparse,STOMP,9,10,,True,True,8.091010084999652,6.054166666666666,14.14517675166632,0.5341101806392926,1.4861514480863962,,nan,True,66,"{""iterations"": 100, ""final_cost"": 540.2339735025745}"
